id,name,vital-dog-breed-group,vital-height,vital-weight,vital-life-span,trait-adapts-well-to-apartment-living,trait-good-for-novice-owners,trait-sensitivity-level,trait-tolerates-being-alone,trait-tolerates-cold-climates,trait-tolerates-hot-climates,trait-affectionate-with-family,trait-compatible-with-kids,trait-dog-friendly,trait-friendly-toward-strangers,trait-amount-of-shedding,trait-drooling-potential,trait-easy-to-groom,trait-general-health,trait-potential-for-weight-gain,trait-size,trait-easy-to-train,trait-intelligence-level,trait-potential-for-mouthiness,trait-predatory-tendencies,trait-tendency-to-bark-or-howl,trait-wanderlust-level,trait-energy-level,trait-intensity-level-vigor,trait-need-for-exercise,trait-potential-for-playfulness
afador,Afador,mixed-breeds,20 to 29 inches,50 to 75 pounds,10 to 12 years,1,1,3,3,4,2,4,2,3,1,4,3,2,3,4,4,1,5,4,4,4,4,4,4,4,3
affenhuahua,Affenhuahua,mixed-breeds,6 to 12 inches,4 to 12 pounds,13 to 18 years,4,4,4,1,2,3,4,3,2,2,2,1,4,4,5,1,3,3,4,2,4,2,4,3,3,3
affenpinscher,Affenpinscher,companion-dogs,9 to 11 inches tall at the shoulder,7 to 9 pounds,12 to 14 years,5,4,3,1,3,3,5,1,4,3,1,1,3,4,3,1,2,4,4,3,2,2,4,3,3,4
afghan-hound,Afghan Hound,hounds,24 to 26 inches tall at the shoulder,50 to 60 pounds,10 to 12 years,5,3,5,2,5,5,5,5,4,2,4,1,1,3,1,4,1,4,3,5,2,5,5,2,4,4
airedale-terrier,Airedale Terrier,terriers,21 to 23 inches tall at the shoulder,40 to 65 pounds,10 to 13 years,1,2,3,2,3,3,4,4,4,3,2,1,2,3,4,3,4,5,5,5,4,4,5,3,5,5
akbash,Akbash,working-dogs,27 to 34 inches,75 to 140 pounds,10 to 12 years,1,2,3,4,4,2,5,4,3,2,4,2,3,4,4,4,3,4,3,1,3,1,2,2,2,3
akita,Akita,working-dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",70 to 130 pounds,10 to 12 years,2,2,5,1,5,2,5,1,1,2,5,5,1,4,4,4,2,3,3,4,5,4,4,3,4,5
akita-chow,Akita Chow,mixed-breeds,23 to 25 inches,88 to 145 pounds,10 to 12 years,2,1,4,2,5,2,1,1,1,2,4,3,1,2,4,4,2,4,3,4,2,3,4,4,4,2
akita-pit,Akita Pit,mixed-breeds,16 to 23 inches,30 to 70 pounds,10 to 12 years,3,1,2,4,3,3,4,3,3,2,3,3,4,4,4,4,3,4,3,4,3,1,3,4,3,3
akita-shepherd,Akita Shepherd,mixed-breeds,24 to 28 inches,75 to 120 pounds,10 to 13 years,3,3,2,3,4,3,4,3,3,3,4,2,3,3,3,4,4,4,2,3,1,2,3,3,4,3
